model,category,deler,lagerplass,antall,lagerkode,utpris_m_mva,evt_bestilltid,leverandor,delenummer_oem,leverandor_pa_lager,oem_alt,link,webshop_done,compatibility_status,manual_compatibility_override,created_at,updated_at
Understell B2/B3,Servicedeler,Luftfilter B2,C1-2A,4,"SRL/Max4,3",166.-,,SRL/Maxg/Febi,026133837A+B+03413387B+035133837,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Servicedeler,Bensinfilter,A3-4B,2,AP Alco 14,297.-,,Alco,,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Servicedeler,Luftfilter S2,C1-1C,5,"Maxg 4,5",216.-,,SRL/Maxg/Febi,191129620 + Citro/peug/Ford/VW,Maxgear AF-9096,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Servicedeler,coupefilter B4,,0,,,,,,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Servicedeler,LuftfilterB2/B3,C1-1B,4,"SRL 4,4",167.-,,SRL,0143315+026133837A+B,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Motordeler,Motordeler,,0,,,,,,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Motordeler,toppdek pakning,A3-2B,1,AP 12.1,179.-,,Autopartner,034103483H+035103483C,Elring 914.398,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Motordeler,Centerbolt veiv,A2-3C,2,"TP 7,5","118,-",,Polcar,,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Motordeler,regreim kit 10V,C4-4A,0,PC 37,983.-,,INA 120/18 , null 34109119,INA-530015110,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Motordeler,Løpehjul ,C4-4B,0,PC29,593.-,,,                            069 109 243B,INA 532005110,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Motordeler,vannpumpe,A4-2B,2,PC17,698.-,,SRL,null35121004,S10-225,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Motordeler,kompl pakn sett,C2-4B,0,AP86,1613.-,,Ajusa,,Ajusa AJU50050600,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Motordeler,sensor kjølevifte,A4-2A,2,"Behr 7,2",213.-,,Behr/KW,034919369C,Behr TSW 46/ KW 550635,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Motordeler,Dynamo 90 amp,A2-1B,1,AP 175,2615.-,,AS 90 amp,025903015B+C+025903023+,,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Motordeler,reg rim kit 10V,C2-1A,1,AP  26,1960.-,,INA ,034109119+069109243B,INA komplett,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
Understell B2/B3,Motordeler,Reimhjul reg reim,C2-1B,1,AP 18,760.-,,INA ,069109243B+12571204,INA vendehjul,,,,not_checked,0,2025-08-11T13:40:52.510Z,2025-08-11T13:40:52.510Z
